arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
chain,Miss (fresh JIT),mt_bench,188,5,3.0183253588516745,2.463157894736842,3.5363101604278073
chain,Miss (fresh JIT),translation,142,5,3.016217116217116,2.574891774891775,3.4391608391608393
chain,Miss (fresh JIT),summarization,10,5,4.4,2.1,6.9
chain,Miss (fresh JIT),qa,75,5,4.211365787694389,3.0841108857336037,5.41
chain,Miss (fresh JIT),math_reasoning,78,5,3.743015873015873,2.8511111111111114,5.052380952380952
chain,Miss (fresh JIT),rag,155,5,3.5225168025168023,2.365925925925926,5.199342199342199
chain,P1,mt_bench,591,5,4.190140262260853,3.927614788962809,4.476218942648982
chain,P1,translation,301,5,4.451366490535735,3.2427637030376757,5.755745422842198
chain,P1,summarization,95,5,5.983453647416413,4.277203647416413,7.689228723404256
chain,P1,qa,311,5,4.644493284493285,4.058095238095238,5.23089133089133
chain,P1,math_reasoning,337,5,4.988708140656219,4.19390243902439,5.787535532776294
chain,P1,rag,358,5,5.086695429500045,3.371438693006585,6.801952165993507
chain,P2,mt_bench,239,5,3.5479744319218,3.109122807017544,4.0277492066965745
chain,P2,translation,106,5,4.295989304812834,2.7848357524828113,5.920779220779221
chain,P2,summarization,13,5,6.0,3.8,8.2
chain,P2,qa,66,5,4.394352941176471,3.28,5.503529411764705
chain,P2,math_reasoning,110,5,4.168220551378446,3.3072681704260654,5.311428571428571
chain,P2,rag,118,5,3.479640551872923,2.6578318283835274,4.684313725490196
